"","kc.artist_name","kc.artist_id","kc.album_type","kc.album_release_date","kc.album_release_year","kc.album_release_date_precision","kc.danceability","kc.energy","kc.energy.1","kc.key","kc.loudness","kc.mode","kc.speechiness","kc.acousticness","kc.instrumentalness","kc.liveness","kc.liveness.1","kc.valence","kc.tempo","kc.track_id","kc.duration_ms","kc.explicit","kc.is_local","kc.track_name","kc.track_number","kc.type","kc.album_name","kc.key_name","kc.mode_name","kc.key_mode"
"45","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.466,0.846,0.846,7,-4.811,0,0.0615,0.00894,0,0.219,0.219,0.882,188.148,"1J0vO5ySXHbN0dlpXQoy4l",198226,FALSE,FALSE,"Bad Reputation",16,"track","Piece By Piece (Deluxe Version)","G","minor","G minor"
"46","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.521,0.852,0.852,0,-4.951,1,0.0509,0.137,2.25e-06,0.175,0.175,0.379,89.95,"5Rijl6gAQMyq3HsXMXlVBo",282053,FALSE,FALSE,"In The Blue",17,"track","Piece By Piece (Deluxe Version)","C","major","C major"
"47","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.495,0.789,0.789,6,-3.702,1,0.0477,0.0151,0,0.0673,0.0673,0.434,149.079,"2LnFo5xs07tTsNoG3IXFE8",198733,FALSE,FALSE,"Heartbeat Song",1,"track","Piece By Piece","F#","major","F# major"
"48","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.457,0.769,0.769,10,-5.516,1,0.0808,0.415,0,0.19,0.19,0.332,137.931,"01HVq10MGFFhOt17x9TSnL",238360,FALSE,FALSE,"Invincible",2,"track","Piece By Piece","A#","major","A# major"
"49","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.579,0.637,0.637,8,-6.981,1,0.0422,0.388,0,0.101,0.101,0.11,127.896,"348zsmUgWa6cdhGugHNHQE",219880,FALSE,FALSE,"Someone",3,"track","Piece By Piece","G#","major","G# major"
"50","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.452,0.592,0.592,2,-6.556,1,0.0331,0.387,0,0.127,0.127,0.265,130.028,"4Z5cdk3WHKDuS3ckwfYLtE",260200,FALSE,FALSE,"Take You High",4,"track","Piece By Piece","D","major","D major"
"51","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.592,0.799,0.799,1,-6.755,1,0.044,0.000896,1.67e-06,0.0902,0.0902,0.587,106.03,"48xZqAbX0XyRdhvDAFcdpk",257746,FALSE,FALSE,"Piece by Piece",5,"track","Piece By Piece","C#","major","C# major"
"52","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.38,0.357,0.357,8,-6.943,1,0.031,0.442,0,0.0939,0.0939,0.0832,112.025,"4aGN3Mt4OLt1BRBJye6z6Q",272693,FALSE,FALSE,"Run Run Run (feat. John Legend)",6,"track","Piece By Piece","G#","major","G# major"
"53","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.465,0.735,0.735,7,-5.508,1,0.0383,0.00156,0,0.187,0.187,0.239,169.994,"3jtST9y7ja4oU6eK8rTZyx",238920,FALSE,FALSE,"I Had A Dream",7,"track","Piece By Piece","G","major","G major"
"54","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.394,0.888,0.888,0,-5.359,0,0.272,0.101,0,0.0752,0.0752,0.159,187.772,"2YVSKexf0MxbWjR1jUdPMZ",235266,FALSE,FALSE,"Let Your Tears Fall",8,"track","Piece By Piece","C","minor","C minor"
"55","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.437,0.372,0.372,9,-8.359,0,0.0265,0.597,0,0.153,0.153,0.212,73.985,"5tkLTX4teLXMVmSqMkjTqN",212813,FALSE,FALSE,"Tightrope",9,"track","Piece By Piece","A","minor","A minor"
"56","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.72,0.841,0.841,11,-4.14,1,0.0414,0.0107,0,0.038,0.038,0.745,127.988,"07l068b8V4qYmQ77iXNzRK",224360,FALSE,FALSE,"War Paint",10,"track","Piece By Piece","B","major","B major"
"57","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.492,0.843,0.843,7,-5.775,1,0.0616,0.0019,8.66e-06,0.0958,0.0958,0.294,121.059,"7w9P5qLbVUBQ8MAD4sc6Fk",260533,FALSE,FALSE,"Dance With Me",11,"track","Piece By Piece","G","major","G major"
"58","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2015-03-25",2015,"day",0.749,0.807,0.807,8,-4.782,1,0.0315,0.0216,0,0.327,0.327,0.375,120.046,"41npjIKmI4cPWOqfBfUTdl",217173,FALSE,FALSE,"Nostalgic",12,"track","Piece By Piece","G#","major","G# major"
