"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"233","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.536,0.694,0.694,7,-4.369,0,0.0331,0.0305,0,0.183,0.183,0.293,100.899,"4wrt3GPdeFXNrIYDFY4qEQ",260000,FALSE,FALSE,"Touch It",13,"track","Dangerous Woman","G","minor","G minor"
"234","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.484,0.38,0.38,6,-6.706,1,0.071,0.235,3.8e-06,0.0998,0.0998,0.372,106.652,"6wCx1gY2WZ8fQGXO0ina0g",299213,FALSE,FALSE,"Knew Better / Forever Boy",14,"track","Dangerous Woman","F#","major","F# major"
"235","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.519,0.704,0.704,11,-6.08,1,0.0577,0.0164,0.000479,0.121,0.121,0.434,103.014,"4ZOnCWb3LEXs4XtNGXmcB5",200400,FALSE,FALSE,"Thinking Bout You",15,"track","Dangerous Woman","B","major","B major"
"236","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.626,0.412,0.412,9,-7.339,1,0.0292,0.417,3.55e-06,0.048,0.048,0.209,102.169,"7AzMEO5Dg74gLK4s3vvqYn",202360,FALSE,FALSE,"Moonlight",1,"track","Dangerous Woman","A","major","A major"
"237","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.662,0.602,0.602,4,-5.369,0,0.0401,0.0529,0,0.356,0.356,0.29,133.969,"2W0Y7S3RZ0S5B3X4Ve4Qfl",235946,FALSE,FALSE,"Dangerous Woman",2,"track","Dangerous Woman","E","minor","E minor"
"238","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.813,0.456,0.456,1,-7.667,0,0.0685,0.169,2.85e-06,0.105,0.105,0.587,108.801,"7JOUHzzEMIuHT1ETbRGon2",179293,FALSE,FALSE,"Be Alright",3,"track","Dangerous Woman","C#","minor","C# minor"
"239","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.623,0.734,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.145,0.372,107.853,"2jCbLUgE3x4QBCwl0I75aI",244453,FALSE,FALSE,"Into You",4,"track","Dangerous Woman","A","major","A major"
"240","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.644,0.725,0.725,6,-5.816,0,0.184,0.0415,0,0.165,0.165,0.67,159.172,"4kKDkUwPria5AFZvUMZoH8",226160,FALSE,FALSE,"Side To Side",5,"track","Dangerous Woman","F#","minor","F# minor"
"241","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.528,0.435,0.435,2,-8.363,1,0.129,0.0295,0,0.243,0.243,0.0781,102.704,"1WMQTjW0oRA66XdtmVUKi8",223853,FALSE,FALSE,"Let Me Love You",6,"track","Dangerous Woman","D","major","D major"
"242","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.62,0.705,0.705,1,-5.335,1,0.0989,0.0323,0,0.092,0.092,0.844,109.974,"6NnYy9wg3JaZV622xboXTu",214906,FALSE,FALSE,"Greedy",7,"track","Dangerous Woman","C#","major","C# major"
"243","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.445,0.449,0.449,8,-7.472,0,0.0315,0.596,2.34e-05,0.339,0.339,0.374,90.927,"0jISoWCCqQyr3tvoQEfeck",229680,FALSE,FALSE,"Leave Me Lonely",8,"track","Dangerous Woman","G#","minor","G# minor"
"244","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.631,0.721,0.721,7,-4.51,0,0.0521,0.0168,0,0.189,0.189,0.457,130.975,"1CbwwcXkWbUhc6E3V0Bcl5",194840,FALSE,FALSE,"Everyday",9,"track","Dangerous Woman","G","minor","G minor"
"245","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.694,0.643,0.643,4,-5.404,0,0.0414,0.0146,0,0.281,0.281,0.809,131.966,"1xMCFmyVO51PPgWv1szzC5",226426,FALSE,FALSE,"Bad Decisions",10,"track","Dangerous Woman","E","minor","E minor"
"246","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.525,0.697,0.697,11,-6.06,1,0.0632,0.0175,0.000435,0.121,0.121,0.426,103.038,"2xOpn5FbzNfpdocDzhKBCd",200400,FALSE,FALSE,"Thinking Bout You",11,"track","Dangerous Woman","B","major","B major"
"247","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.626,0.412,0.412,9,-7.339,1,0.0292,0.417,3.55e-06,0.048,0.048,0.209,102.169,"5A7CwBNDUhvLWuSU5oJEh3",202360,FALSE,FALSE,"Moonlight",1,"track","Dangerous Woman","A","major","A major"
"248","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.662,0.602,0.602,4,-5.369,0,0.0401,0.0529,0,0.356,0.356,0.29,133.969,"3nef5W8jTkXrOKgCu4kmq7",235946,FALSE,FALSE,"Dangerous Woman",2,"track","Dangerous Woman","E","minor","E minor"
"249","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.813,0.456,0.456,1,-7.667,0,0.0685,0.169,2.85e-06,0.105,0.105,0.587,108.801,"6TOfPHF57Qhlbfm5lhZ9k1",179293,FALSE,FALSE,"Be Alright",3,"track","Dangerous Woman","C#","minor","C# minor"
"250","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.623,0.734,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.145,0.372,107.853,"76FZM38RC8XaAjJ77CVTNe",244453,FALSE,FALSE,"Into You",4,"track","Dangerous Woman","A","major","A major"
"251","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.65,0.736,0.736,6,-5.84,0,0.229,0.0513,0,0.235,0.235,0.612,159.174,"44ONERBHALxftQNWq6dmyd",226160,TRUE,FALSE,"Side To Side",5,"track","Dangerous Woman","F#","minor","F# minor"
"252","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.528,0.435,0.435,2,-8.363,1,0.129,0.0295,0,0.243,0.243,0.0781,102.704,"59NC8SuXPiSaiYL69XQ4dt",223853,FALSE,FALSE,"Let Me Love You",6,"track","Dangerous Woman","D","major","D major"
"253","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.62,0.705,0.705,1,-5.335,1,0.0989,0.0323,0,0.092,0.092,0.844,109.974,"7aLT0tLcS40Penaplqu2cZ",214906,FALSE,FALSE,"Greedy",7,"track","Dangerous Woman","C#","major","C# major"
"254","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.445,0.449,0.449,8,-7.472,0,0.0315,0.596,2.34e-05,0.339,0.339,0.374,90.927,"27PTd8bvvSpk9qXtNwxbe7",229680,FALSE,FALSE,"Leave Me Lonely",8,"track","Dangerous Woman","G#","minor","G# minor"
"255","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.637,0.733,0.733,7,-4.387,0,0.0553,0.0152,0,0.162,0.162,0.432,131.005,"30TmLgK0ja5O8q9l4BShIX",194840,TRUE,FALSE,"Everyday",9,"track","Dangerous Woman","G","minor","G minor"
"256","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.394,0.666,0.666,4,-5.383,1,0.25,0.0901,0,0.344,0.344,0.561,77.827,"3j6Vua6G9chRUJ9dTiOh7k",226666,FALSE,FALSE,"Sometimes",10,"track","Dangerous Woman","E","major","E major"
"257","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.59,0.403,0.403,0,-8.286,1,0.0431,0.729,1.38e-06,0.153,0.153,0.287,111.948,"1QGiDkpRQGqvBdDOnbDimF",178026,TRUE,FALSE,"I Don't Care",11,"track","Dangerous Woman","C","major","C major"
"258","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.698,0.646,0.646,4,-5.368,0,0.0415,0.0146,0,0.269,0.269,0.787,131.945,"4qtXU0epoC3zEmolXdBcu8",226426,TRUE,FALSE,"Bad Decisions",12,"track","Dangerous Woman","E","minor","E minor"
"259","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.536,0.694,0.694,7,-4.369,0,0.0331,0.0305,0,0.183,0.183,0.293,100.899,"6WikCGNUbXFmXoLre7vjeW",260000,FALSE,FALSE,"Touch It",13,"track","Dangerous Woman","G","minor","G minor"
"260","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-04-01",2016,"day",0.484,0.38,0.38,6,-6.706,1,0.071,0.235,3.8e-06,0.0998,0.0998,0.372,106.652,"212ecIiQ47VqrOLRTwXaMB",299213,FALSE,FALSE,"Knew Better / Forever Boy",14,"track","Dangerous Woman","F#","major","F# major"
